lat,long,time,id,mode
43.2530504,-79.9200985,2023-03-17 01:18:25.775000+00:00,79,mode.WALK
43.2531029,-79.9201576,2023-03-17 01:19:26.977000+00:00,80,mode.WALK
43.2530724,-79.9201333,2023-03-17 01:20:28.233000+00:00,81,mode.WALK
43.2530488,-79.9200893,2023-03-17 01:21:29.363000+00:00,82,mode.WALK
43.2530879,-79.9201418,2023-03-17 01:22:30.577000+00:00,83,mode.WALK
43.2530565,-79.9201061,2023-03-17 01:23:31.761000+00:00,84,mode.WALK
43.2530399,-79.9200637,2023-03-17 01:24:33.536000+00:00,85,mode.WALK
43.2530656,-79.9200968,2023-03-17 01:25:34.700000+00:00,86,mode.WALK
43.2530731,-79.9201028,2023-03-17 01:26:35.877000+00:00,87,mode.WALK
43.2530668,-79.9200847,2023-03-17 01:27:37.048000+00:00,88,mode.WALK
43.2530589,-79.9201036,2023-03-17 01:28:38.314000+00:00,89,mode.WALK
43.253058,-79.9200827,2023-03-17 01:29:39.490000+00:00,90,mode.WALK
43.2530461,-79.9200567,2023-03-17 01:30:40.737000+00:00,91,mode.WALK
43.2530407,-79.9200678,2023-03-17 01:31:41.941000+00:00,92,mode.WALK
43.2530567,-79.9200927,2023-03-17 01:32:43.122000+00:00,93,mode.WALK
43.25305,-79.9200901,2023-03-17 01:33:44.297000+00:00,94,mode.WALK
43.2530255,-79.9200665,2023-03-17 01:34:45.494000+00:00,95,mode.WALK
43.2530423,-79.920089,2023-03-17 01:35:46.654000+00:00,96,mode.WALK
43.2530401,-79.9200548,2023-03-17 01:36:47.877000+00:00,97,mode.WALK
43.2530423,-79.9200825,2023-03-17 01:37:49.078000+00:00,98,mode.WALK
43.2530465,-79.9201029,2023-03-17 01:38:50.327000+00:00,99,mode.WALK
43.2530582,-79.9200939,2023-03-17 01:39:51.488000+00:00,100,mode.WALK
43.2530153,-79.9200514,2023-03-17 01:40:52.659000+00:00,101,mode.WALK
43.253076,-79.9201264,2023-03-17 01:41:53.827000+00:00,102,mode.WALK
43.2530352,-79.9200865,2023-03-17 01:42:55.025000+00:00,103,mode.WALK
43.2530467,-79.9200858,2023-03-17 01:43:56.328000+00:00,104,mode.WALK
43.253033,-79.9200732,2023-03-17 01:44:57.549000+00:00,105,mode.WALK
43.2531136,-79.9201355,2023-03-17 01:45:58.787000+00:00,106,mode.WALK
43.2530608,-79.9201061,2023-03-17 01:46:59.930000+00:00,107,mode.WALK
43.2530577,-79.920096,2023-03-17 01:48:01.134000+00:00,108,mode.WALK
43.2530564,-79.9200785,2023-03-17 01:49:02.496000+00:00,109,mode.WALK
43.253051,-79.9200866,2023-03-17 01:50:02.635000+00:00,110,mode.WALK
43.253051,-79.9200866,2023-03-17 01:51:03.451000+00:00,111,mode.WALK
43.253051,-79.9200866,2023-03-17 01:52:03.515000+00:00,112,mode.WALK
43.253051,-79.9200866,2023-03-17 01:53:04.476000+00:00,113,mode.WALK
43.253051,-79.9200866,2023-03-17 01:54:04.533000+00:00,114,mode.WALK
43.253051,-79.9200866,2023-03-17 01:55:04.674000+00:00,115,mode.WALK
43.253051,-79.9200866,2023-03-17 01:56:04.761000+00:00,116,mode.WALK
43.253051,-79.9200866,2023-03-17 01:57:05.481000+00:00,117,mode.WALK
43.253051,-79.9200866,2023-03-17 01:58:05.548000+00:00,118,mode.WALK
43.253051,-79.9200866,2023-03-17 01:59:05.620000+00:00,119,mode.WALK
43.253051,-79.9200866,2023-03-17 02:00:06.465000+00:00,120,mode.WALK
43.2530064,-79.920044,2023-03-17 02:01:07.242000+00:00,121,mode.WALK
43.2530064,-79.9200425,2023-03-17 02:02:08.056000+00:00,122,mode.WALK
43.2529983,-79.9200446,2023-03-17 02:03:08.829000+00:00,123,mode.WALK
43.2529983,-79.920044,2023-03-17 02:04:09.624000+00:00,124,mode.WALK
43.2530056,-79.9200424,2023-03-17 02:05:10.455000+00:00,125,mode.WALK
43.2530043,-79.9200496,2023-03-17 02:06:11.266000+00:00,126,mode.WALK
43.2530068,-79.920041,2023-03-17 02:07:12.084000+00:00,127,mode.WALK
43.2529977,-79.920047,2023-03-17 02:08:12.871000+00:00,128,mode.WALK
43.2530029,-79.9200358,2023-03-17 02:09:15.326000+00:00,129,mode.WALK
43.2530039,-79.9200321,2023-03-17 02:10:17.814000+00:00,130,mode.WALK
43.2529981,-79.9200371,2023-03-17 02:11:20.370000+00:00,131,mode.WALK
43.2530650443754,-79.9201099386302,2023-03-17 02:12:46.498000+00:00,132,mode.WALK
43.2529983,-79.9200398,2023-03-17 02:13:49.341000+00:00,133,mode.WALK
43.2530025,-79.920037,2023-03-17 02:14:52.101000+00:00,134,mode.WALK
43.2529968,-79.9200392,2023-03-17 02:15:54.707000+00:00,135,mode.WALK
43.2529953,-79.9200388,2023-03-17 02:16:57.415000+00:00,136,mode.WALK
43.2529982,-79.9200397,2023-03-17 02:18:00.291000+00:00,137,mode.WALK
43.2531110853677,-79.920008203702,2023-03-17 02:19:09.433000+00:00,138,mode.WALK
43.2529994,-79.9200345,2023-03-17 02:20:11.938000+00:00,139,mode.WALK
43.2529973,-79.9200454,2023-03-17 02:21:14.407000+00:00,140,mode.WALK
43.2529967,-79.9200388,2023-03-17 02:22:16.848000+00:00,141,mode.WALK
43.2530048,-79.9200443,2023-03-17 02:23:19.373000+00:00,142,mode.WALK
43.2529955,-79.9200389,2023-03-17 02:24:21.748000+00:00,143,mode.WALK
43.2530034,-79.9200321,2023-03-17 02:25:24.439000+00:00,144,mode.WALK
43.2529951,-79.9200377,2023-03-17 02:26:26.900000+00:00,145,mode.WALK
43.2530013,-79.9200401,2023-03-17 02:27:29.549000+00:00,146,mode.WALK
43.2529982,-79.9200396,2023-03-17 02:28:32.560000+00:00,147,mode.WALK
43.2529982,-79.9200397,2023-03-17 02:29:35.658000+00:00,148,mode.WALK
43.2529982,-79.9200396,2023-03-17 02:30:38.757000+00:00,149,mode.WALK
43.253005,-79.9200383,2023-03-17 02:31:40.992000+00:00,150,mode.WALK
43.2529992,-79.9200444,2023-03-17 02:32:41.821000+00:00,151,mode.WALK
43.2530096,-79.920043,2023-03-17 02:33:42.904000+00:00,152,mode.WALK
43.2530033,-79.920036,2023-03-17 02:34:43.730000+00:00,153,mode.WALK
43.2529982,-79.9200444,2023-03-17 02:35:44.629000+00:00,154,mode.WALK
43.2529971,-79.9200462,2023-03-17 02:36:45.514000+00:00,155,mode.WALK
43.2530045,-79.9200676,2023-03-17 02:37:46.441000+00:00,156,mode.WALK
43.253057,-79.9201155,2023-03-17 02:45:08.322000+00:00,157,mode.WALK
43.2530004,-79.9200396,2023-03-17 02:46:09.188000+00:00,158,mode.WALK
43.2529949,-79.92004,2023-03-17 02:47:10.232000+00:00,159,mode.WALK
