lat,long,time,id,mode
43.2529993,-79.9200438,2023-03-18 05:30:49.765000+00:00,1061,mode.STOP
43.253,-79.9200449,2023-03-18 05:31:50.668000+00:00,1062,mode.STOP
43.2529984,-79.9200432,2023-03-18 05:32:51.610000+00:00,1063,mode.STOP
43.2530018,-79.9200422,2023-03-18 05:33:52.508000+00:00,1064,mode.STOP
43.2529935,-79.9200487,2023-03-18 05:34:53.773000+00:00,1065,mode.STOP
43.2529858,-79.9200417,2023-03-18 05:35:54.818000+00:00,1066,mode.STOP
43.2530015,-79.9200505,2023-03-18 05:36:55.647000+00:00,1067,mode.STOP
43.2530072,-79.9200466,2023-03-18 05:37:56.746000+00:00,1068,mode.STOP
43.2530042,-79.9200619,2023-03-18 05:38:57.519000+00:00,1069,mode.STOP
43.2530007,-79.920048,2023-03-18 05:39:58.328000+00:00,1070,mode.STOP
43.2530031,-79.9200529,2023-03-18 05:40:59.088000+00:00,1071,mode.STOP
43.2530005,-79.9200502,2023-03-18 05:41:59.910000+00:00,1072,mode.STOP
43.2530045,-79.9200439,2023-03-18 05:43:00.756000+00:00,1073,mode.STOP
43.2529992,-79.9200401,2023-03-18 05:44:01.562000+00:00,1074,mode.STOP
43.2530015,-79.920042,2023-03-18 05:45:02.369000+00:00,1075,mode.STOP
43.2530051,-79.9200422,2023-03-18 05:46:03.271000+00:00,1076,mode.STOP
43.2529993,-79.9200414,2023-03-18 05:47:04.122000+00:00,1077,mode.STOP
43.2529965,-79.9200468,2023-03-18 05:48:04.941000+00:00,1078,mode.STOP
43.2530008,-79.9200424,2023-03-18 05:49:05.712000+00:00,1079,mode.STOP
43.2529976,-79.9200482,2023-03-18 05:50:06.502000+00:00,1080,mode.STOP
43.2530015,-79.9200487,2023-03-18 05:51:07.267000+00:00,1081,mode.STOP
43.2529978,-79.9200496,2023-03-18 05:52:08.050000+00:00,1082,mode.STOP
43.2529996,-79.9200465,2023-03-18 05:53:08.866000+00:00,1083,mode.STOP
43.2529996,-79.9200423,2023-03-18 05:54:09.970000+00:00,1084,mode.STOP
43.2530077,-79.9200534,2023-03-18 05:55:10.780000+00:00,1085,mode.STOP
43.2530025,-79.9200455,2023-03-18 05:56:11.582000+00:00,1086,mode.STOP
43.253005,-79.9200542,2023-03-18 05:57:12.402000+00:00,1087,mode.STOP
43.2529981,-79.9200415,2023-03-18 05:58:13.210000+00:00,1088,mode.STOP
43.2530109,-79.9200546,2023-03-18 05:59:13.983000+00:00,1089,mode.STOP
43.2529987,-79.92004,2023-03-18 06:00:14.742000+00:00,1090,mode.STOP
43.2530004,-79.9200385,2023-03-18 06:01:15.552000+00:00,1091,mode.STOP
43.2529965,-79.9200429,2023-03-18 06:02:16.360000+00:00,1092,mode.STOP
43.2530031,-79.9200344,2023-03-18 06:03:17.192000+00:00,1093,mode.STOP
43.2529976,-79.9200481,2023-03-18 06:04:18.076000+00:00,1094,mode.STOP
43.2530027,-79.9200517,2023-03-18 06:05:18.911000+00:00,1095,mode.STOP
43.2529994,-79.9200404,2023-03-18 17:02:41.451000+00:00,1096,mode.STOP
43.2530059,-79.9200467,2023-03-18 17:03:42.849000+00:00,1097,mode.STOP
43.253007,-79.9200478,2023-03-18 17:04:43.705000+00:00,1098,mode.STOP
43.2530256,-79.9202875,2023-03-18 17:05:45+00:00,1099,mode.STOP
43.2530041,-79.9202723,2023-03-18 17:06:46.831000+00:00,1100,mode.STOP
43.2529682,-79.9201084,2023-03-18 17:07:48.183000+00:00,1101,mode.STOP
43.25488764,-79.91953575,2023-03-18 17:08:46.999000+00:00,1102,mode.STOP
